kernel,B,H,W,k,block,torch_time,triton_time,speedup,mae,max,rel_l2
1x1@56,32,56,56,1,64-64-16/4x2,0.4024615000162157,1.6021958999772323,0.25119368987396284,8.13901424407959e-05,0.001953125,0.00035100238418576593
1x1@56,32,56,56,1,64-64-32/4x2,0.4024615000162157,1.5966576999744575,0.2520649855148377,8.13901424407959e-05,0.001953125,0.00035100238418576593
1x1@56,32,56,56,1,64-64-64/4x2,0.4024615000162157,1.7789528000321297,0.2262350636896869,8.13901424407959e-05,0.001953125,0.00035100238418576593
1x1@56,32,56,56,1,64-128-32/4x2,0.4024615000162157,1.6855753500749415,0.23876802659597632,8.13901424407959e-05,0.001953125,0.00035100238418576593
1x1@56,32,56,56,1,128-64-32/8x2,0.4024615000162157,1.6208024499974272,0.24831002693564203,8.13901424407959e-05,0.001953125,0.00035100238418576593
1x1@56,32,56,56,1,128-128-32/8x2,0.4024615000162157,1.8819967999661458,0.21384813195402638,8.13901424407959e-05,0.001953125,0.00035100238418576593
1x1@56,32,56,56,1,128-128-64/8x2,0.4024615000162157,2.498749250025867,0.1610651809148315,8.13901424407959e-05,0.001953125,0.00035100238418576593
1x1@56,32,56,56,1,128-64-32/8x3,0.4024615000162157,1.8232610999803,0.22073717254241,8.13901424407959e-05,0.001953125,0.00035100238418576593
1x1@56,32,56,56,1,64-128-32/4x3,0.4024615000162157,1.6189251000469085,0.24859797405362014,8.13901424407959e-05,0.001953125,0.00035100238418576593
1x1@56,32,56,56,1,64-64-32/2x2,0.4024615000162157,1.7585710999810544,0.22885711019619936,8.13901424407959e-05,0.001953125,0.00035100238418576593
3x3@56,16,56,56,3,64-64-16/4x2,1.0149669499696756,3.6058077000234334,0.2814811643901807,8.157383854268119e-05,0.001953125,0.00036341109518822883
3x3@56,16,56,56,3,64-64-32/4x2,1.0149669499696756,3.236820949950925,0.31356907461472777,8.157383854268119e-05,0.001953125,0.00036341109518822883
3x3@56,16,56,56,3,64-64-64/4x2,1.0149669499696756,3.0927373999475094,0.32817753941440414,8.157383854268119e-05,0.001953125,0.00036341109518822883
3x3@56,16,56,56,3,64-128-32/4x2,1.0149669499696756,2.9030947999672208,0.3496155034210856,8.157383854268119e-05,0.001953125,0.00036341109518822883
3x3@56,16,56,56,3,128-64-32/8x2,1.0149669499696756,3.177538150066539,0.31941928059885666,8.157383854268119e-05,0.001953125,0.00036341109518822883
3x3@56,16,56,56,3,128-128-32/8x2,1.0149669499696756,3.098582999973587,0.3275584194382811,8.157383854268119e-05,0.001953125,0.00036341109518822883
3x3@56,16,56,56,3,128-128-64/8x2,1.0149669499696756,3.0429402499976277,0.33354810367060833,8.157383854268119e-05,0.001953125,0.00036341109518822883
3x3@56,16,56,56,3,128-64-32/8x3,1.0149669499696756,3.0482768999718246,0.33296415754718905,8.157383854268119e-05,0.001953125,0.00036341109518822883
3x3@56,16,56,56,3,64-128-32/4x3,1.0149669499696756,2.7269715500551683,0.37219565050069636,8.157383854268119e-05,0.001953125,0.00036341109518822883
3x3@56,16,56,56,3,64-64-32/2x2,1.0149669499696756,3.014577349949832,0.3366863185602342,8.157383854268119e-05,0.001953125,0.00036341109518822883
5x5@56,16,56,56,5,64-64-16/4x2,1.9761922500038054,8.815858750040206,0.22416332952190193,7.933130109449849e-05,0.001953125,0.0003536258749215188
5x5@56,16,56,56,5,64-64-32/4x2,1.9761922500038054,5.854784250004741,0.3375345983077353,7.933130109449849e-05,0.001953125,0.0003536258749215188
5x5@56,16,56,56,5,64-64-64/4x2,1.9761922500038054,5.609782999999879,0.35227605952027874,7.933130109449849e-05,0.001953125,0.0003536258749215188
5x5@56,16,56,56,5,64-128-32/4x2,1.9761922500038054,5.0206197000079555,0.39361520451363285,7.933130109449849e-05,0.001953125,0.0003536258749215188
5x5@56,16,56,56,5,128-64-32/8x2,1.9761922500038054,5.712095099988801,0.3459662725166603,7.933130109449849e-05,0.001953125,0.0003536258749215188
5x5@56,16,56,56,5,128-128-32/8x2,1.9761922500038054,5.646763850018033,0.3499689915308738,7.933130109449849e-05,0.001953125,0.0003536258749215188
5x5@56,16,56,56,5,128-128-64/8x2,1.9761922500038054,6.810584549930354,0.29016485083119836,7.933130109449849e-05,0.001953125,0.0003536258749215188
5x5@56,16,56,56,5,128-64-32/8x3,1.9761922500038054,5.904232200009574,0.3347077457422154,7.933130109449849e-05,0.001953125,0.0003536258749215188
5x5@56,16,56,56,5,64-128-32/4x3,1.9761922500038054,5.3300591499464645,0.3707636621675492,7.933130109449849e-05,0.001953125,0.0003536258749215188
5x5@56,16,56,56,5,64-64-32/2x2,1.9761922500038054,5.625725749996491,0.3512777440324101,7.933130109449849e-05,0.001953125,0.0003536258749215188
7x7@56,16,56,56,7,64-64-16/4x2,3.3917588500116835,16.402068449951912,0.20678848282831228,8.000084199011326e-05,0.001953125,0.00036363614579517766
7x7@56,16,56,56,7,64-64-32/4x2,3.3917588500116835,10.115927449987794,0.3352889655229562,8.000084199011326e-05,0.001953125,0.00036363614579517766
7x7@56,16,56,56,7,64-64-64/4x2,3.3917588500116835,9.605871500025387,0.3530922571682038,8.000084199011326e-05,0.001953125,0.00036363614579517766
7x7@56,16,56,56,7,64-128-32/4x2,3.3917588500116835,8.605122150038369,0.39415580521382376,8.000084199011326e-05,0.001953125,0.00036363614579517766
7x7@56,16,56,56,7,128-64-32/8x2,3.3917588500116835,10.237607900035073,0.3313038439380027,8.000084199011326e-05,0.001953125,0.00036363614579517766
7x7@56,16,56,56,7,128-128-32/8x2,3.3917588500116835,9.72046055003375,0.34892985085978334,8.000084199011326e-05,0.001953125,0.00036363614579517766
7x7@56,16,56,56,7,128-128-64/8x2,3.3917588500116835,11.257030750039121,0.3013013755869767,8.000084199011326e-05,0.001953125,0.00036363614579517766
7x7@56,16,56,56,7,128-64-32/8x3,3.3917588500116835,9.58407639991492,0.3538952225007089,8.000084199011326e-05,0.001953125,0.00036363614579517766
7x7@56,16,56,56,7,64-128-32/4x3,3.3917588500116835,8.676399050000327,0.3909178024737757,8.000084199011326e-05,0.001953125,0.00036363614579517766
7x7@56,16,56,56,7,64-64-32/2x2,3.3917588500116835,9.916923600030714,0.3420172411130786,8.000084199011326e-05,0.001953125,0.00036363614579517766
3x3@112,16,112,112,3,64-64-16/4x2,3.8749168000322243,14.504203150045214,0.26715819958852033,7.663539872737601e-05,0.001953125,0.00034919880656435366
3x3@112,16,112,112,3,64-64-32/4x2,3.8749168000322243,12.651606500003254,0.3062786374229413,7.663539872737601e-05,0.001953125,0.00034919880656435366
3x3@112,16,112,112,3,64-64-64/4x2,3.8749168000322243,11.976294049964054,0.3235489028464406,7.663539872737601e-05,0.001953125,0.00034919880656435366
3x3@112,16,112,112,3,64-128-32/4x2,3.8749168000322243,11.577899999974761,0.3346821789824296,7.663539872737601e-05,0.001953125,0.00034919880656435366
3x3@112,16,112,112,3,128-64-32/8x2,3.8749168000322243,12.667601550037944,0.30589190737694283,7.663539872737601e-05,0.001953125,0.00034919880656435366
3x3@112,16,112,112,3,128-128-32/8x2,3.8749168000322243,12.633334749989444,0.306721612045898,7.663539872737601e-05,0.001953125,0.00034919880656435366
3x3@112,16,112,112,3,128-128-64/8x2,3.8749168000322243,12.927071950070967,0.2997520873248448,7.663539872737601e-05,0.001953125,0.00034919880656435366
3x3@112,16,112,112,3,128-64-32/8x3,3.8749168000322243,12.855123400004231,0.30142976301814023,7.663539872737601e-05,0.001953125,0.00034919880656435366
3x3@112,16,112,112,3,64-128-32/4x3,3.8749168000322243,11.861185899942939,0.3266888178568102,7.663539872737601e-05,0.001953125,0.00034919880656435366
3x3@112,16,112,112,3,64-64-32/2x2,3.8749168000322243,12.77167174994247,0.3033993415975226,7.663539872737601e-05,0.001953125,0.00034919880656435366
5x5@112,16,112,112,5,64-64-16/4x2,7.447614600005181,36.85791424995841,0.20206283376476153,8.001331298146397e-05,0.001953125,0.0003600594560265738
5x5@112,16,112,112,5,64-64-32/4x2,7.447614600005181,23.276287099997717,0.3199657474583183,8.001331298146397e-05,0.001953125,0.0003600594560265738
5x5@112,16,112,112,5,64-64-64/4x2,7.447614600005181,24.534957600008056,0.30355115021689444,8.001331298146397e-05,0.001953125,0.0003600594560265738
5x5@112,16,112,112,5,64-128-32/4x2,7.447614600005181,21.346650600025896,0.3488891414185674,8.001331298146397e-05,0.001953125,0.0003600594560265738
5x5@112,16,112,112,5,128-64-32/8x2,7.447614600005181,23.96693109994885,0.31074544208211435,8.001331298146397e-05,0.001953125,0.0003600594560265738
5x5@112,16,112,112,5,128-128-32/8x2,7.447614600005181,23.265338799956226,0.32011631827253656,8.001331298146397e-05,0.001953125,0.0003600594560265738
5x5@112,16,112,112,5,128-128-64/8x2,7.447614600005181,26.464261799992528,0.28142158871808337,8.001331298146397e-05,0.001953125,0.0003600594560265738
5x5@112,16,112,112,5,128-64-32/8x3,7.447614600005181,22.849528200003988,0.3259417233833249,8.001331298146397e-05,0.001953125,0.0003600594560265738
5x5@112,16,112,112,5,64-128-32/4x3,7.447614600005181,21.010570250018645,0.35446989355267844,8.001331298146397e-05,0.001953125,0.0003600594560265738
5x5@112,16,112,112,5,64-64-32/2x2,7.447614600005181,22.987290950004535,0.32398835583554103,8.001331298146397e-05,0.001953125,0.0003600594560265738
7x7@112,16,112,112,7,64-64-16/4x2,12.964087499949528,63.94467714999337,0.2027391188408068,7.790308882249519e-05,0.001953125,0.00035124655278357796
7x7@112,16,112,112,7,64-64-32/4x2,12.964087499949528,48.128942550010834,0.2693615694231913,7.790308882249519e-05,0.001953125,0.00035124655278357796
7x7@112,16,112,112,7,64-64-64/4x2,12.964087499949528,49.47862050003096,0.26201392377019517,7.790308882249519e-05,0.001953125,0.00035124655278357796
7x7@112,16,112,112,7,64-128-32/4x2,12.964087499949528,40.65704104996257,0.3188645106764714,7.790308882249519e-05,0.001953125,0.00035124655278357796
7x7@112,16,112,112,7,128-64-32/8x2,12.964087499949528,49.51733030002288,0.2618090963588063,7.790308882249519e-05,0.001953125,0.00035124655278357796
7x7@112,16,112,112,7,128-128-32/8x2,12.964087499949528,42.4162691499987,0.30563950483490193,7.790308882249519e-05,0.001953125,0.00035124655278357796
7x7@112,16,112,112,7,128-128-64/8x2,12.964087499949528,49.385925799924735,0.26250570967263887,7.790308882249519e-05,0.001953125,0.00035124655278357796
7x7@112,16,112,112,7,128-64-32/8x3,12.964087499949528,45.66895134994411,0.2838709257983738,7.790308882249519e-05,0.001953125,0.00035124655278357796
7x7@112,16,112,112,7,64-128-32/4x3,12.964087499949528,201.76227869997092,0.06425426786157425,7.790308882249519e-05,0.001953125,0.00035124655278357796
7x7@112,16,112,112,7,64-64-32/2x2,12.964087499949528,1169.0845188000822,0.011089093467130613,7.790308882249519e-05,0.001953125,0.00035124655278357796
3x3@224,8,224,224,3,64-64-16/4x2,8.602476550004212,60.2961738999511,0.14267035524141589,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@224,8,224,224,3,64-64-32/4x2,8.602476550004212,53.05497489998743,0.16214269380431373,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@224,8,224,224,3,64-64-64/4x2,8.602476550004212,50.89400775004833,0.16902729673506686,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@224,8,224,224,3,64-128-32/4x2,8.602476550004212,80.33820234995801,0.10707828029971732,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@224,8,224,224,3,128-64-32/8x2,8.602476550004212,51.68698564993974,0.16643409248637894,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@224,8,224,224,3,128-128-32/8x2,8.602476550004212,49.03335729995888,0.1754413122760294,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@224,8,224,224,3,128-128-64/8x2,8.602476550004212,47.791957699973864,0.17999841320601345,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@224,8,224,224,3,128-64-32/8x3,8.602476550004212,49.32502475003275,0.17440389728336628,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@224,8,224,224,3,64-128-32/4x3,8.602476550004212,46.48055454999849,0.18507689147190892,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@224,8,224,224,3,64-64-32/2x2,8.602476550004212,48.36266640004396,0.1778743231162373,8.015471394173801e-05,0.001953125,0.00035432472831492865
3x3@32,32,32,32,3,64-64-16/4x2,3.682223849955335,8.148450600037904,0.4518925168348209,7.999150693649426e-05,0.001953125,0.0003618208530191225
3x3@32,32,32,32,3,64-64-32/4x2,3.682223849955335,5.802037250032299,0.6346432625772674,7.999150693649426e-05,0.001953125,0.0003618208530191225
3x3@32,32,32,32,3,64-64-64/4x2,3.682223849955335,5.40774249993774,0.6809170092691598,7.999150693649426e-05,0.001953125,0.0003618208530191225
3x3@32,32,32,32,3,64-128-32/4x2,3.682223849955335,5.1528795000194805,0.71459537331339,7.999150693649426e-05,0.001953125,0.0003618208530191225
3x3@32,32,32,32,3,128-64-32/8x2,3.682223849955335,6.8669106000015745,0.5362271426621589,7.999150693649426e-05,0.001953125,0.0003618208530191225
3x3@32,32,32,32,3,128-128-32/8x2,3.682223849955335,5.843757549973816,0.6301123580960052,7.999150693649426e-05,0.001953125,0.0003618208530191225
3x3@32,32,32,32,3,128-128-64/8x2,3.682223849955335,5.53254280002875,0.6655572280319639,7.999150693649426e-05,0.001953125,0.0003618208530191225
3x3@32,32,32,32,3,128-64-32/8x3,3.682223849955335,5.924115200014057,0.6215652001410434,7.999150693649426e-05,0.001953125,0.0003618208530191225
3x3@32,32,32,32,3,64-128-32/4x3,3.682223849955335,4.9088398999629135,0.750120990905235,7.999150693649426e-05,0.001953125,0.0003618208530191225
3x3@32,32,32,32,3,64-64-32/2x2,3.682223849955335,5.671842099945934,0.6492112765252113,7.999150693649426e-05,0.001953125,0.0003618208530191225
5x5@32,32,32,32,5,64-64-16/4x2,4.597753399957583,19.177365949963132,0.23974895259097986,7.856142474338412e-05,0.001953125,0.0003611419937724086
5x5@32,32,32,32,5,64-64-32/4x2,4.597753399957583,11.781055399933393,0.39026668187839747,7.856142474338412e-05,0.001953125,0.0003611419937724086
5x5@32,32,32,32,5,64-64-64/4x2,4.597753399957583,11.204902500048775,0.4103340836689626,7.856142474338412e-05,0.001953125,0.0003611419937724086
5x5@32,32,32,32,5,64-128-32/4x2,4.597753399957583,9.813241150004615,0.4685254677508277,7.856142474338412e-05,0.001953125,0.0003611419937724086
5x5@32,32,32,32,5,128-64-32/8x2,4.597753399957583,11.729619349989662,0.3919780568123581,7.856142474338412e-05,0.001953125,0.0003611419937724086
5x5@32,32,32,32,5,128-128-32/8x2,4.597753399957583,11.110666450076678,0.4138143666373723,7.856142474338412e-05,0.001953125,0.0003611419937724086
5x5@32,32,32,32,5,128-128-64/8x2,4.597753399957583,12.652037349926104,0.3634002392495653,7.856142474338412e-05,0.001953125,0.0003611419937724086
5x5@32,32,32,32,5,128-64-32/8x3,4.597753399957583,11.210202549955284,0.41014008261393303,7.856142474338412e-05,0.001953125,0.0003611419937724086
5x5@32,32,32,32,5,64-128-32/4x3,4.597753399957583,9.839479099991877,0.4672760979756925,7.856142474338412e-05,0.001953125,0.0003611419937724086
5x5@32,32,32,32,5,64-64-32/2x2,4.597753399957583,11.633625000013126,0.3952124466752534,7.856142474338412e-05,0.001953125,0.0003611419937724086
3x3@16,64,16,16,3,64-64-16/4x2,3.6211092499797815,13.506146799954877,0.2681082401674976,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,64-64-32/4x2,3.6211092499797815,8.11065015004715,0.4464634995948791,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,64-64-64/4x2,3.6211092499797815,7.432103899918729,0.48722532660225304,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,64-128-32/4x2,3.6211092499797815,6.9591602500622685,0.5203370981358535,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,128-64-32/8x2,3.6211092499797815,8.174013999996532,0.44300257498718715,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,128-128-32/8x2,3.6211092499797815,8.06045039998935,0.44924403355730175,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,128-128-64/8x2,3.6211092499797815,7.9633860000285495,0.4547197950679271,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,128-64-32/8x3,3.6211092499797815,7.670716800021182,0.4720692139188064,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,64-128-32/4x3,3.6211092499797815,6.63186459996723,0.5460167642743603,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3@16,64,16,16,3,64-64-32/2x2,3.6211092499797815,7.9940483000427776,0.45297565314440297,7.57936795707792e-05,0.001953125,0.00035226538291661925
3x3_s2@112,16,112,112,3,64-64-16/4x2,1.3696537000214448,4.471341899989056,0.30631826656440586,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-64-32/4x2,1.3696537000214448,3.721106149987463,0.3680770300051933,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-64-64/4x2,1.3696537000214448,3.3695576999889454,0.4064787791068063,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-128-32/4x2,1.3696537000214448,3.2778839499769674,0.41784691615792835,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,128-64-32/8x2,1.3696537000214448,4.000525499941432,0.3423684463557342,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,128-128-32/8x2,1.3696537000214448,3.489140550027514,0.3925475859694572,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,128-128-64/8x2,1.3696537000214448,3.637135600001784,0.376574824436233,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,128-64-32/8x3,1.3696537000214448,3.3593664500585874,0.40771190651069283,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-128-32/4x3,1.3696537000214448,3.034845749971282,0.4513091645710183,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_s2@112,16,112,112,3,64-64-32/2x2,1.3696537000214448,3.370800250013417,0.40632894221957916,8.30424323794432e-05,0.001953125,0.00036212917046054985
3x3_dil2@56,16,56,56,3,64-64-16/4x2,1.0049311000329908,4.0202803499596484,0.24996542841672156,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-64-32/4x2,1.0049311000329908,3.3405735999622266,0.3008259120662254,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-64-64/4x2,1.0049311000329908,3.6647699500463204,0.27421396533233666,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-128-32/4x2,1.0049311000329908,3.1510974999946484,0.3189146321352156,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,128-64-32/8x2,1.0049311000329908,3.351395150002645,0.299854554612039,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,128-128-32/8x2,1.0049311000329908,3.489953799999057,0.2879496857618179,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,128-128-64/8x2,1.0049311000329908,3.369040950019553,0.29828402650527547,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,128-64-32/8x3,1.0049311000329908,3.4384796500489756,0.29226030173500583,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-128-32/4x3,1.0049311000329908,3.1811787000151526,0.3158989779568825,7.525333057856187e-05,0.001953125,0.000349297873322011
3x3_dil2@56,16,56,56,3,64-64-32/2x2,1.0049311000329908,3.591277849955077,0.27982549443941285,7.525333057856187e-05,0.001953125,0.000349297873322011
